otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""generali (500940231)""","""Serviços de seguros de acidentes""","""17,811.38""",12,7,"""6,232,903.34""","""-16,486.19""","""17,593.84""","""93,504.38""","""16.00%""",72,"""14.29%""",16,"""30.43%"""
"""Fidelidade Companhia de Seguros, S.A. (500918880)""","""Serviços de seguros de acidentes""","""3,979.43""",4,3,"""1,564,406.49""","""-2,654.24""","""3,761.89""","""107,336.33""","""3.57%""",80,"""4.76%""",20,"""13.04%"""
"""Caravela – Companhia de Seguros, S.A. (503640549)""","""Serviços de seguros de acidentes""","""3,516.74""",5,3,"""2,076,787.94""","""-2,191.55""","""3,299.20""","""107,799.02""","""3.16%""",79,"""5.95%""",20,"""13.04%"""
"""MDS – Corretor de Seguros, S.A. (501469460)""","""Serviços de seguros de acidentes""","""3,223.43""",3,2,"""638,934.89""","""-1,898.24""","""3,005.89""","""108,092.33""","""2.90%""",81,"""3.57%""",21,"""8.70%"""
"""Sosel - Corretores de Seguros SA (502379707)""","""Serviços de seguros de acidentes""","""2,848.50""",3,1,"""843,980.44""","""-1,523.31""","""2,630.96""","""108,467.26""","""2.56%""",81,"""3.57%""",22,"""4.35%"""
"""Generali (513300260)""","""Serviços de seguros de acidentes""","""2,521.82""",4,3,"""1,080,490.63""","""-1,196.63""","""2,304.28""","""108,793.94""","""2.27%""",80,"""4.76%""",20,"""13.04%"""
"""Corbroker  - Corretores de Seguros, S.A (503239470)""","""Serviços de seguros de acidentes""","""2,300.83""",3,2,"""775,501.91""","""-975.64""","""2,083.29""","""109,014.93""","""2.07%""",81,"""3.57%""",21,"""8.70%"""
"""Nascente Corretores de Seguros, Lda. (503355623)""","""Serviços de seguros de acidentes""","""1,929.38""",3,2,"""416,027.05""","""-604.19""","""1,711.84""","""109,386.38""","""1.73%""",81,"""3.57%""",21,"""8.70%"""
"""Atlas Seguros - Consultores e Corretores de Seguros, SA (501278699)""","""Serviços de seguros de acidentes""","""1,585.98""",1,1,"""396,495.00""","""-260.79""","""1,368.44""","""109,729.78""","""1.42%""",83,"""1.19%""",22,"""4.35%"""
"""Açoreana Seguros, SA (512004048)""","""Serviços de seguros de acidentes""","""895.45""",2,1,"""370,329.57""","""429.74""","""677.91""","""110,420.31""","""0.80%""",82,"""2.38%""",22,"""4.35%"""
"""VERLINGUE - CORRETOR DE SEGUROS, S.A. (502358416)""","""Serviços de seguros de acidentes""","""853.59""",1,1,"""494,230.71""","""471.60""","""636.05""","""110,462.17""","""0.77%""",83,"""1.19%""",22,"""4.35%"""
"""Lusitania - Companhia de Seguros, S.A. (501689168)""","""Serviços de seguros""","""26,321.78""",15,9,"""5,842,514.41""","""-25,180.98""","""26,438.55""","""72,928.12""","""26.52%""",72,"""17.24%""",16,"""36.00%"""
"""Willis corretores de Seguros S.A. (500188629)""","""Serviços de seguros""","""17,830.32""",16,8,"""5,791,025.03""","""-16,689.52""","""17,947.09""","""81,419.58""","""17.97%""",71,"""18.39%""",17,"""32.00%"""
"""generali (500940231)""","""Serviços de seguros""","""16,262.59""",25,8,"""4,588,027.02""","""-15,121.79""","""16,379.36""","""82,987.31""","""16.39%""",62,"""28.74%""",17,"""32.00%"""
"""Fidelidade Companhia de Seguros, S.A. (500918880)""","""Serviços de seguros""","""10,997.99""",9,5,"""4,339,783.11""","""-9,857.19""","""11,114.76""","""88,251.91""","""11.08%""",78,"""10.34%""",20,"""20.00%"""
"""SABSEG - CORRETOR DE SEGUROS, S.A. (500906181)""","""Serviços de seguros""","""9,110.49""",2,1,"""1,679,273.51""","""-7,969.69""","""9,227.26""","""90,139.41""","""9.18%""",85,"""2.30%""",24,"""4.00%"""
"""Caravela – Companhia de Seguros, S.A. (503640549)""","""Serviços de seguros""","""5,528.48""",8,6,"""2,162,786.32""","""-4,387.68""","""5,645.25""","""93,721.42""","""5.57%""",79,"""9.20%""",19,"""24.00%"""
"""VERSPIEREN PORTUGAL - Corretores de Seguros, S.A. (500938326)""","""Serviços de seguros""","""3,935.51""",1,1,"""1,436,460.56""","""-2,794.71""","""4,052.28""","""95,314.39""","""3.97%""",86,"""1.15%""",24,"""4.00%"""
"""Corbroker  - Corretores de Seguros, S.A (503239470)""","""Serviços de seguros""","""3,639.44""",3,2,"""945,356.69""","""-2,498.64""","""3,756.21""","""95,610.46""","""3.67%""",84,"""3.45%""",23,"""8.00%"""
"""Nascente Corretores de Seguros, Lda. (503355623)""","""Serviços de seguros""","""1,668.27""",1,1,"""433,750.90""","""-527.47""","""1,785.04""","""97,581.63""","""1.68%""",86,"""1.15%""",24,"""4.00%"""
"""MDS – Corretor de Seguros, S.A. (501469460)""","""Serviços de seguros""","""1,417.45""",2,2,"""1,160,173.76""","""-276.65""","""1,534.22""","""97,832.45""","""1.43%""",85,"""2.30%""",23,"""8.00%"""
"""UNA Seguros SA (502661321)""","""Serviços de seguros""","""1,315.94""",2,1,"""480,317.70""","""-175.14""","""1,432.71""","""97,933.96""","""1.33%""",85,"""2.30%""",24,"""4.00%"""
"""João Mata, Ldª (500150141)""","""Serviços de seguros""","""602.28""",1,1,"""219,833.95""","""538.52""","""719.05""","""98,647.62""","""0.61%""",86,"""1.15%""",24,"""4.00%"""
"""POPULAR SEGUROS - COMPANHIA DE SEGUROS, S.A (507592034)""","""Serviços de seguros""","""413.89""",1,1,"""149,002.16""","""726.91""","""530.66""","""98,836.01""","""0.42%""",86,"""1.15%""",24,"""4.00%"""
"""Açoreana Seguros, SA (512004048)""","""Serviços de seguros""","""205.47""",1,1,"""74,997.33""","""935.33""","""322.24""","""99,044.43""","""0.21%""",86,"""1.15%""",24,"""4.00%"""
"""Vigiexpert, Prevenção e Vigilância Privada, Lda (506807266)""","""Serviços de vigilância""","""25,926.45""",13,4,"""5,825,684.42""","""-24,341.09""","""25,904.84""","""92,975.70""","""21.80%""",62,"""17.33%""",22,"""15.38%"""
"""Ronsegur, Rondas e Segurança, Lda (507011724)""","""Serviços de vigilância""","""15,843.13""",11,6,"""5,654,218.20""","""-14,257.77""","""15,821.52""","""103,059.02""","""13.32%""",64,"""14.67%""",20,"""23.08%"""
"""COPS – Companhia Operacional de Segurança, Unipessoal, Lda, (508569974)""","""Serviços de vigilância""","""11,202.34""",9,4,"""3,418,151.59""","""-9,616.98""","""11,180.73""","""107,699.81""","""9.42%""",66,"""12.00%""",22,"""15.38%"""
"""SMA - Segurança Privada Lda (506595200)""","""Serviços de vigilância""","""10,989.69""",1,1,"""2,692,474.62""","""-9,404.33""","""10,968.08""","""107,912.46""","""9.24%""",74,"""1.33%""",25,"""3.85%"""
"""Grupo 8 - Vigilância e Prevenção Electrónica, S,A, (500131210)""","""Serviços de vigilância""","""10,119.90""",5,2,"""2,371,732.15""","""-8,534.54""","""10,098.29""","""108,782.25""","""8.51%""",70,"""6.67%""",24,"""7.69%"""
"""2045-GÁLIA (502332905)""","""Serviços de vigilância""","""9,002.46""",6,4,"""3,932,961.88""","""-7,417.10""","""8,980.85""","""109,899.69""","""7.57%""",69,"""8.00%""",22,"""15.38%"""
"""Prestibel - Empresa de Segurança, SA (501326456)""","""Serviços de vigilância""","""7,394.29""",5,4,"""909,068.01""","""-5,808.93""","""7,372.68""","""111,507.86""","""6.22%""",70,"""6.67%""",22,"""15.38%"""
"""Ovisegur - Vigilância e Segurança, Lda. (507525620)""","""Serviços de vigilância""","""5,975.18""",9,3,"""898,280.95""","""-4,389.82""","""5,953.57""","""112,926.97""","""5.03%""",66,"""12.00%""",23,"""11.54%"""
"""Noite e Dia Vigilância, Lda. (502512709)""","""Serviços de vigilância""","""5,878.28""",1,1,"""1,257,952.71""","""-4,292.92""","""5,856.67""","""113,023.87""","""4.94%""",74,"""1.33%""",25,"""3.85%"""
"""Prosegur - Companhia  de Segurança, Lda, (501290567)""","""Serviços de vigilância""","""4,009.20""",2,1,"""723,639.65""","""-2,423.84""","""3,987.59""","""114,892.95""","""3.37%""",73,"""2.67%""",25,"""3.85%"""
"""STRONG CHARON, SOLUÇÕES DE SEGURANÇA, S.A. (503257567)""","""Serviços de vigilância""","""2,306.61""",1,1,"""668,916.72""","""-721.25""","""2,285.00""","""116,595.54""","""1.94%""",74,"""1.33%""",25,"""3.85%"""
"""VMSegurança Privada, Vigilâncias e Motivação, Lda (513283021)""","""Serviços de vigilância""","""1,924.75""",3,2,"""868,434.99""","""-339.39""","""1,903.14""","""116,977.40""","""1.62%""",72,"""4.00%""",24,"""7.69%"""
"""COMANSEGUR-SEGURANÇA PRIVADA SA (503586579)""","""Serviços de vigilância""","""1,821.64""",3,3,"""142,117.58""","""-236.28""","""1,800.03""","""117,080.51""","""1.53%""",72,"""4.00%""",23,"""11.54%"""
"""Charon - Prestação de Serviços de Segurança e Vigilância, S.A. (501718540)""","""Serviços de vigilância""","""1,730.32""",1,1,"""631,567.44""","""-144.96""","""1,708.71""","""117,171.83""","""1.46%""",74,"""1.33%""",25,"""3.85%"""
"""Securitas - Serviços e Tecnologias de Segurança, S.A. (500243719)""","""Serviços de vigilância""","""1,622.49""",1,1,"""147,646.86""","""-37.13""","""1,600.88""","""117,279.66""","""1.36%""",74,"""1.33%""",25,"""3.85%"""
"""IG5 Segurança Privada, S.A. (515737798)""","""Serviços de vigilância""","""1,384.32""",2,1,"""62,358.11""","""201.04""","""1,362.71""","""117,517.83""","""1.16%""",73,"""2.67%""",25,"""3.85%"""
"""2045-Gália/Serviços de Vigilância e Segurança, A.C.E. (513205470)""","""Serviços de vigilância""","""1,009.35""",1,1,"""736,828.80""","""576.01""","""987.74""","""117,892.80""","""0.85%""",74,"""1.33%""",25,"""3.85%"""
"""Visacção segurança Privada, SA (507756002)""","""Serviços de vigilância""","""761.75""",1,1,"""278,040.00""","""823.61""","""740.14""","""118,140.40""","""0.64%""",74,"""1.33%""",25,"""3.85%"""
